ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date
kew-2620607,A,Actinidiaceae,,Actinidia,,"acuminata",,"","Budisch. ex Trautv.",Accepted,,M,WCSP (in review),744475,828392-1,"Trudy Imp. S.-Peterburgsk. Bot. Sada","8: 167","","1883"
kew-2620609,A,Actinidiaceae,,Actinidia,,"arguta",,"","(Siebold & Zucc.) Planch. ex Miq.",Accepted,,M,WCSP (in review),744477,,"Ann. Mus. Bot. Lugduno-Batavi","3: 15","","1867"
tro-500177,A,Actinidiaceae,,Actinidia,,"arguta",var.,"arguta","",Accepted,,L,TRO,500177,,"","","",""
kew-2620613,A,Actinidiaceae,,Actinidia,,"arguta",var.,"hypoleuca","(Nakai) Kitam.",Accepted,,L,WCSP (in review),744481,,"Acta Phytotax. Geobot.","31: 48","","1980"
kew-2620616,A,Actinidiaceae,,Actinidia,,"arguta",var.,"purpurea","(Rehder) C.F.Liang ex Q.Q.Chang",Accepted,,L,WCSP (in review),744484,1006048-1,"Wuyi Sci. J.","2: 27","","1982"
kew-2620619,A,Actinidiaceae,,Actinidia,,"arisanensis",,"","Hayata",Accepted,,M,WCSP (in review),744487,316461-1,"Icon. Pl. Formosan.","8: 11","","1911"
kew-2620620,A,Actinidiaceae,,Actinidia,,"asymmetrica",,"","F.Chun",Accepted,,M,WCSP (in review),744488,56879-1,"Sunyatsenia","7: 13","","1948"
kew-2620621,A,Actinidiaceae,,Actinidia,,"callosa",,"","Lindl.",Accepted,,M,WCSP (in review),744489,828394-1,"Intr. Nat. Syst. Bot.","ed. 2: 439","","1836"
kew-2620627,A,Actinidiaceae,,Actinidia,,"callosa",var.,"formosana","Finet & Gagnep.",Accepted,,L,WCSP (in review),744495,,"Bull. Soc. Bot. France","52(4): 20","","1905"
kew-2620628,A,Actinidiaceae,,Actinidia,,"callosa",var.,"henryi","Maxim.",Accepted,,L,WCSP (in review),744496,,"Trudy Imp. S.-Peterburgsk. Bot. Sada","11: 36","","1890"
kew-2620631,A,Actinidiaceae,,Actinidia,,"callosa",var.,"pubescens","Dunn",Accepted,,L,WCSP (in review),744499,60444555-2,"J. Linn. Soc., Bot.","39: 406","","1911"
kew-2620637,A,Actinidiaceae,,Actinidia,,"carnosifolia",,"","C.Y.Wu",Accepted,,M,WCSP (in review),744505,56880-1,"in Fl. Yunnanica","1: 60","","1977"
kew-2620641,A,Actinidiaceae,,Actinidia,,"changii",,"","P.S.Hsu",Accepted,,M,WCSP (in review),744509,56881-1,"Acta Phytotax. Sin.","11: 197","","1966"
kew-2620643,A,Actinidiaceae,,Actinidia,,"chengkouensis",,"","C.Y.Chang",Accepted,,M,WCSP (in review),744511,896327-1,"Bull. Bot. Lab. N. E. Forest. Inst., Harbin","8: 85","","1980"
kew-2620644,A,Actinidiaceae,,Actinidia,,"chinensis",,"","Planch.",Accepted,,M,WCSP (in review),744512,828396-1,"London J. Bot.","6: 303","","1847"
tro-500002,A,Actinidiaceae,,Actinidia,,"chinensis",var.,"chinensis","",Accepted,,L,TRO,500002,,"","","",""
